NOMBDEP,viv_agua,viv_elec,cant_vivienda
AMAZONAS,88.8594630532665,92.5007546529862,1078
ANCASH,94.9551080826244,96.5705319105882,1288
APURIMAC,97.7410389747851,95.5105633684707,904
AREQUIPA,84.6159298138367,98.4147353552074,1332
AYACUCHO,94.0698978810771,93.9705550521706,1054
CAJAMARCA,87.1356612096258,92.0794552270348,1321
CALLAO,97.9177292648348,99.7249004013566,979
CUSCO,96.4793689273114,93.1074166598773,1141
HUANCAVELICA,87.5754973201402,94.4498539159254,923
HUANUCO,91.6799692252024,94.9210702962458,993
ICA,60.1851694025615,99.1086245574608,1370
JUNIN,92.9355583156179,95.692761350647,1371
LA LIBERTAD,79.3553237991016,97.2715125339976,1401
LAMBAYEQUE,91.4257258974343,98.427500186303,1310
LIMA,89.1321350245461,98.1667327257135,4159
LORETO,73.3677198463312,81.5258561688064,813
MADRE DE DIOS,90.0292703742114,96.1150818773745,479
MOQUEGUA,95.3867406201202,95.3979477123414,933
PASCO,87.608779552407,91.668343341565,670
PIURA,59.2587269998968,96.3921984142944,1440
PUNO,86.3330963912879,91.971842511726,762
SAN MARTIN,92.176275059137,94.0190154481368,1187
TACNA,87.3396506695445,97.174837912633,1219
TUMBES,48.5118232411716,97.6353863075447,730
UCAYALI,91.8370353509527,90.0215037177919,864
