NOMBPROV,internet_si,internet_no,celinter_si,celinter_no,internet_total,celinter_total
ABANCAY,104,146,169,81,250,250
ACOBAMBA,8,92,80,20,100,100
ACOMAYO,1,32,12,21,33,33
ALTO AMAZONAS,23,68,51,40,91,91
AMBO,3,22,12,13,25,25
ANDAHUAYLAS,65,179,128,116,244,244
ANGARAES,10,76,20,66,86,86
ANTA,0,34,13,21,34,34
AREQUIPA,262,306,400,168,568,568
ASCOPE,27,52,48,31,79,79
ATALAYA,5,59,16,48,64,64
AYABACA,3,45,18,30,48,48
AYMARAES,2,49,22,29,51,51
AZANGARO,2,74,25,51,76,76
BAGUA,27,119,85,61,146,146
BARRANCA,41,38,40,39,79,79
BELLAVISTA,10,26,25,11,36,36
BOLOGNESI,0,8,2,6,8,8
BONGARA,4,37,21,20,41,41
CAJABAMBA,11,71,27,55,82,82
CAJAMARCA,113,110,163,60,223,223
CALCA,1,7,3,5,8,8
CALLAO,996,480,932,544,1476,1476
CAMANA,5,31,11,25,36,36
CANCHIS,11,47,24,34,58,58
CANDARAVE,0,32,29,3,32,32
CANGALLO,2,34,6,30,36,36
CARABAYA,0,33,10,23,33,33
CARAVELI,11,67,42,36,78,78
CARHUAZ,2,23,5,20,25,25
CASMA,20,40,42,18,60,60
CASTILLA,0,32,5,27,32,32
CASTROVIRREYNA,4,12,9,7,16,16
CAYLLOMA,6,45,36,15,51,51
CAÑETE,101,110,116,95,211,211
CELENDIN,15,31,36,10,46,46
CHACHAPOYAS,37,72,76,33,109,109
CHANCHAMAYO,22,62,40,44,84,84
CHEPEN,17,23,17,23,40,40
CHICLAYO,178,268,262,184,446,446
CHINCHA,79,122,116,85,201,201
CHINCHEROS,4,81,48,37,85,85
CHOTA,4,44,30,18,48,48
CHUCUITO,0,55,20,35,55,55
CHUMBIVILCAS,3,16,5,14,19,19
CHUPACA,8,18,8,18,26,26
CHURCAMPA,2,31,15,18,33,33
CONCEPCION,0,34,6,28,34,34
CONDESUYOS,1,25,8,18,26,26
CONDORCANQUI,0,16,0,16,16,16
CONTRALMIRANTE VILLAR,8,57,38,27,65,65
CONTUMAZA,5,21,14,12,26,26
CORONEL PORTILLO,117,317,326,108,434,434
COTABAMBAS,3,43,22,24,46,46
CUSCO,156,138,215,79,294,294
CUTERVO,4,52,35,21,56,56
DANIEL ALCIDES CARRION,7,95,29,73,102,102
DOS DE MAYO,2,14,5,11,16,16
EL COLLAO,7,57,25,39,64,64
ESPINAR,3,63,26,40,66,66
FERREÑAFE,16,51,21,46,67,67
GENERAL SANCHEZ CERRO,8,66,53,21,74,74
GRAN CHIMU,2,24,4,22,26,26
GRAU,2,46,13,35,48,48
HUACAYBAMBA,2,14,4,12,16,16
HUALGAYOC,5,45,30,20,50,50
HUALLAGA,1,18,5,14,19,19
HUAMALIES,1,16,5,12,17,17
HUAMANGA,136,295,257,174,431,431
HUANCA SANCOS,1,9,7,3,10,10
HUANCABAMBA,5,60,24,41,65,65
HUANCANE,3,21,16,8,24,24
HUANCAVELICA,109,310,262,157,419,419
HUANCAYO,151,178,202,127,329,329
HUANTA,20,117,68,69,137,137
HUANUCO,136,224,192,168,360,360
HUARAL,45,90,60,75,135,135
HUARAZ,51,64,82,33,115,115
HUARI,7,51,25,33,58,58
HUARMEY,14,15,15,14,29,29
HUAROCHIRI,9,56,13,52,65,65
HUAURA,91,104,82,113,195,195
HUAYLAS,9,17,22,4,26,26
HUAYTARA,1,31,16,16,32,32
ICA,151,150,234,67,301,301
ILO,172,150,275,47,322,322
ISLAY,9,25,29,5,34,34
JAEN,24,81,55,50,105,105
JAUJA,9,57,34,32,66,66
JORGE BASADRE,5,3,6,2,8,8
JULCAN,0,16,6,10,16,16
JUNIN,0,10,2,8,10,10
LA CONVENCION,13,71,42,42,84,84
LA MAR,2,73,17,58,75,75
LAMAS,6,51,26,31,57,57
LAMBAYEQUE,29,104,46,87,133,133
LAMPA,1,33,6,28,34,34
LAURICOCHA,0,27,1,26,27,27
LEONCIO PRADO,42,142,77,107,184,184
LIMA,1617,756,1676,697,2373,2373
LORETO,1,54,23,32,55,55
LUCANAS,15,109,49,75,124,124
LUYA,0,51,19,32,51,51
MANU,11,113,56,68,124,124
MARAÑON,4,16,6,14,20,20
MARISCAL CACERES,17,50,40,27,67,67
MARISCAL NIETO,152,256,345,63,408,408
MARISCAL RAMON CASTILLA,0,24,3,21,24,24
MAYNAS,26,310,256,80,336,336
MELGAR,3,45,24,24,48,48
MORROPON,8,74,40,42,82,82
MOYOBAMBA,22,58,50,30,80,80
NASCA,22,38,44,16,60,60
OTUZCO,0,24,4,20,24,24
OXAPAMPA,35,159,67,127,194,194
OYON,0,8,0,8,8,8
PACASMAYO,27,41,37,31,68,68
PACHITEA,3,27,14,16,30,30
PADRE ABAD,2,72,42,32,74,74
PAITA,20,61,61,20,81,81
PALLASCA,1,22,14,9,23,23
PALPA,1,15,12,4,16,16
PARINACOCHAS,2,24,13,13,26,26
PASCO,80,279,167,192,359,359
PATAZ,2,8,8,2,10,10
PAUCAR DEL SARA SARA,0,10,1,9,10,10
PICOTA,1,18,9,10,19,19
PISCO,46,49,68,27,95,95
PIURA,132,251,256,127,383,383
POMABAMBA,0,32,7,25,32,32
PUERTO INCA,1,14,9,6,15,15
PUNO,66,106,122,50,172,172
QUISPICANCHI,4,56,20,40,60,60
RECUAY,0,16,2,14,16,16
REQUENA,1,34,7,28,35,35
RIOJA,14,117,42,89,131,131
RODRIGUEZ DE MENDOZA,1,42,20,23,43,43
SAN ANTONIO DE PUTINA,1,51,35,17,52,52
SAN IGNACIO,11,47,40,18,58,58
SAN MARCOS,1,7,5,3,8,8
SAN MARTIN,75,83,120,38,158,158
SAN MIGUEL,7,33,12,28,40,40
SAN PABLO,1,9,9,1,10,10
SAN ROMAN,56,244,200,100,300,300
SANCHEZ CARRION,1,57,8,50,58,58
SANDIA,0,15,14,1,15,15
SANTA,219,220,346,93,439,439
SANTA CRUZ,1,9,5,5,10,10
SANTIAGO DE CHUCO,3,49,19,33,52,52
SATIPO,6,62,18,50,68,68
SECHURA,7,53,39,21,60,60
SIHUAS,0,16,4,12,16,16
SULLANA,35,115,104,46,150,150
TACNA,394,329,588,135,723,723
TAHUAMANU,13,55,42,26,68,68
TALARA,21,40,46,15,61,61
TAMBOPATA,153,346,341,158,499,499
TARATA,2,41,18,25,43,43
TARMA,11,33,25,19,44,44
TAYACAJA,12,165,85,92,177,177
TOCACHE,10,30,27,13,40,40
TRUJILLO,261,198,355,104,459,459
TUMBES,127,305,262,170,432,432
UCAYALI,4,38,24,18,42,42
URUBAMBA,11,31,18,24,42,42
UTCUBAMBA,30,212,118,124,242,242
VICTOR FAJARDO,0,24,9,15,24,24
VILCAS HUAMAN,0,16,7,9,16,16
VIRU,10,24,16,18,34,34
YAROWILCA,0,16,1,15,16,16
YAULI,20,28,19,29,48,48
YAUYOS,1,13,0,14,14,14
YUNGAY,4,30,17,17,34,34
YUNGUYO,2,23,12,13,25,25
ZARUMILLA,26,127,85,68,153,153
