NOMBPROV,viv_agua,viv_elec,cant_vivienda
ABANCAY,100,91.302944214876,217
ACOBAMBA,66.8786075036075,100,95
ACOMAYO,100,95.8333333333333,32
AIJA,100,91.6666666666667,27
ALTO AMAZONAS,81.4024390243903,95.020325203252,140
AMBO,93.9393939393939,95.719696969697,86
ANDAHUAYLAS,98.6425339366516,96.308588212613,318
ANGARAES,86.1478365384615,95.7632211538462,105
ANTA,97.9310344827586,96.8103448275862,71
ANTABAMBA,96.875,94.6022727272727,39
ANTONIO RAYMONDI,100,71.4285714285714,7
AREQUIPA,90.5705096923856,99.3289239636758,940
ASCOPE,89.4815623076493,99.2277992277992,114
ASUNCION,100,100,8
ATALAYA,91.6666666666667,90.7407407407407,66
AYABACA,69.3694706852602,95.6815114709852,89
AYMARAES,100,95.0892857142857,66
AZANGARO,70.6349206349206,95.8705357142857,75
BAGUA,86.4596929864877,83.4822057787174,182
BARRANCA,80.5927318295739,99.7142857142857,174
BELLAVISTA,89.5555555555556,95.5555555555556,62
BOLIVAR,100,100,14
BOLOGNESI,100,100,26
BONGARA,96.4285714285714,96.8269230769231,53
CAJABAMBA,96.2566844919786,90.9090909090909,56
CAJAMARCA,85.8223660400532,97.5189155107188,332
CAJATAMBO,91.6666666666667,100,26
CALCA,98.5714285714286,96.7532467532468,58
CALLAO,97.9177292648348,99.7249004013566,979
CAMANA,54.1666666666667,100,57
CANAS,100,92.8571428571429,36
CANCHIS,100,98.0952380952381,101
CANDARAVE,100,97.6190476190476,40
CANGALLO,98.8888888888889,81.3492063492064,61
CANTA,89.4736842105263,100,46
CARABAYA,94.4444444444444,97.6190476190476,35
CARAVELI,52.6988636363636,98.8636363636364,68
CARHUAZ,100,100,30
CARLOS FERMIN FITZCARRALD,93.3333333333333,95.5555555555556,45
CASMA,93.3333333333333,89.002849002849,64
CASTILLA,98.4615384615385,93.3333333333333,67
CASTROVIRREYNA,98.3333333333333,100,62
CAYLLOMA,90.1084085406119,94.6428571428571,101
CAÑETE,82.2234725959446,92.6993042432479,346
CELENDIN,85.996660996661,91.6375291375291,94
CHACHAPOYAS,86.2551440329218,97.1354166666667,219
CHANCHAMAYO,98.5054347826087,98.1727734922861,144
CHEPEN,96.2962962962963,100,57
CHICLAYO,95.2674689115132,98.7644110275689,901
CHINCHA,62.3261065943993,100,271
CHINCHEROS,93.3518862090291,98.5987696514012,110
CHOTA,83.1466842336408,93.0818275926972,151
CHUCUITO,77.9605263157895,97.6190476190476,65
CHUMBIVILCAS,93.3333333333333,88.2323232323232,75
CHUPACA,97.037037037037,98.0324074074074,66
CHURCAMPA,95.9183673469388,97.9591836734694,69
CONCEPCION,95.9183673469388,98.2142857142857,61
CONDESUYOS,100,100,19
CONDORCANQUI,94.8717948717949,23.0769230769231,45
CONTRALMIRANTE VILLAR,13.4278002699055,89.9460188933873,103
CONTUMAZA,93.75,95.8333333333333,34
CORONEL PORTILLO,90.4729266079042,87.164133663853,638
CORONGO,87.5,87.5,8
COTABAMBAS,92.2254901960784,95.6505847953216,97
CUSCO,94.3615384615385,100,308
CUTERVO,79.4722719141324,88.7128375500469,104
DANIEL ALCIDES CARRION,87.2222222222222,95.3227124183007,140
DATEM DEL MARAÑON,94.7368421052632,35.1973684210526,27
DOS DE MAYO,87.3263888888889,100,43
EL COLLAO,88.936170212766,86.8085106382979,52
EL DORADO,100,94.7916666666667,63
ESPINAR,92.5,74.2857142857143,69
FERREÑAFE,96.6269841269841,98.3333333333333,92
GENERAL SANCHEZ CERRO,94.2300194931774,94.8984468339307,136
GRAN CHIMU,54.7619047619048,94.4444444444444,26
GRAU,100,96.1734693877551,57
HUACAYBAMBA,97.6190476190476,100,28
HUALGAYOC,81.7246835443038,93.1170886075949,87
HUALLAGA,100,95.8169934640523,43
HUAMALIES,95.2976190476191,90.2091836734694,89
HUAMANGA,91.2826296626033,93.2034424508058,404
HUANCA SANCOS,100,100,32
HUANCABAMBA,89.8996655518395,90.350613154961,109
HUANCANE,82.6190476190476,82.3809523809524,44
HUANCAVELICA,94.2142857142857,89.2960927960928,298
HUANCAYO,83.4543041432644,96.7116402116402,560
HUANTA,98.29307568438,95.0925925925926,123
HUANUCO,76.9583094900519,95.5242526871235,381
HUARAL,77.2660254239202,87.3015873015873,211
HUARAZ,93.3542046131136,96.9308943089431,233
HUARI,96.3053977272727,98.2142857142857,61
HUARMEY,100,100,33
HUAROCHIRI,86.734693877551,100,96
HUAURA,89.1813544720522,99.6059431524548,273
HUAYLAS,89.2857142857143,100,58
HUAYTARA,81.5151515151515,85.0757575757576,79
ICA,48.963308691617,98.1286227015323,746
ILO,95.9044368600683,99.7724687144482,329
ISLAY,100,100,53
JAEN,96.8296703296703,89.4382384532761,172
JAUJA,96.8518518518519,93.0555555555556,157
JORGE BASADRE,97.2222222222222,98.8505747126437,49
JULCAN,67.0634920634921,80.3571428571429,38
JUNIN,98.6111111111111,100,38
LA CONVENCION,100,97.2589285714286,143
LA MAR,96.5174531351002,93.9942002442002,127
LA UNION,93.9393939393939,100,27
LAMAS,97.9437229437229,79.107400535972,95
LAMBAYEQUE,81.9529380206345,97.8969270166453,317
LAMPA,95.8333333333333,100,21
LAURICOCHA,100,93.75,13
LEONCIO PRADO,98.1103678929766,94.6963196033562,176
LIMA,93.8612967463566,99.6977989839115,2896
LORETO,97.7777777777778,91.1111111111111,21
LUCANAS,90.3679653679654,93.1818181818182,86
LUYA,93.3419913419914,98.498556998557,202
MANU,79.6130952380953,91.5343915343915,48
MARAÑON,97.2,97.7777777777778,50
MARISCAL CACERES,88.3333333333333,95.8333333333333,66
MARISCAL LUZURIAGA,92.8571428571429,92.8571428571429,34
MARISCAL NIETO,96.8629741905604,93.959938528904,468
MARISCAL RAMON CASTILLA,80.1587301587302,85.7142857142857,18
MAYNAS,76.7892156862745,90.499245852187,539
MELGAR,99.2063492063492,62.6713564213564,54
MOHO,100,91.3888888888889,30
MORROPON,76.939041221936,98.8409090909091,142
MOYOBAMBA,95.9015771913861,96.9404003639672,215
NASCA,87.6041666666667,99.1666666666667,113
OCROS,100,93.3333333333333,19
OTUZCO,85.6210918710919,100,80
OXAPAMPA,99.264705882353,92.5015101177892,144
OYON,100,100,27
PACASMAYO,48.0357142857143,100,96
PACHITEA,78.3730158730159,92.7197802197802,50
PADRE ABAD,93.8149350649351,93.734126984127,160
PAITA,30.7539682539683,100,89
PALLASCA,100,100,41
PALPA,20.3296703296703,100,32
PARINACOCHAS,72.2222222222222,86.25,42
PARURO,100,97.9591836734694,63
PASCO,80.0314406642022,89.2857142857143,386
PATAZ,88.5010822510823,99.0384615384615,66
PAUCAR DEL SARA SARA,96.4285714285714,96.875,29
PAUCARTAMBO,95.7142857142857,88.0952380952381,43
PICOTA,64.6616541353384,98.5714285714286,55
PISCO,81.2891870295522,99.5073891625616,208
PIURA,78.8732711239883,94.5434438022717,568
POMABAMBA,98.3333333333333,91.6666666666667,37
PUERTO INCA,100,95,29
PUNO,72.1925403225806,98.2846102150538,194
PUTUMAYO,0,100,4
QUISPICANCHI,96.875,87.9358552631579,87
RECUAY,100,93.3333333333333,18
REQUENA,95.4545454545454,100,22
RIOJA,95.2876984126984,94.5133053221288,174
RODRIGUEZ DE MENDOZA,93.75,100,103
SAN ANTONIO DE PUTINA,88.8888888888889,84.9206349206349,14
SAN IGNACIO,86.0409592529712,99.1228070175439,90
SAN MARCOS,92.5,95.8333333333333,65
SAN MARTIN,95.6331846161746,97.2407389542736,333
SAN MIGUEL,93.75,87.8125,56
SAN PABLO,98.3333333333334,93.3333333333333,38
SAN ROMAN,91.764705882353,100,107
SANCHEZ CARRION,73.2638888888889,96.875,103
SANDIA,96.875,93.75,32
SANTA,85.0854700854701,99.1452991452991,435
SANTA CRUZ,68.75,75.8333333333333,42
SANTIAGO DE CHUCO,72.3214285714286,93.2142857142857,42
SATIPO,96.9907407407408,86.8005451338785,182
SECHURA,38.4722222222222,96.1111111111111,70
SIHUAS,93.9285714285714,100,36
SUCRE,100,100,30
SULLANA,38.7617691774245,97.7564102564103,247
TACNA,78.151981933607,97.7545465881552,1094
TAHUAMANU,96.551724137931,98.8505747126437,56
TALARA,8.05687645687646,97.6689976689977,126
TAMBOPATA,92.9495614035088,97.4989800081599,375
TARATA,98.4848484848485,92.9292929292929,36
TARMA,91.6888183844967,99.1596638655462,126
TAYACAJA,90.0847578347578,97.9437321937322,215
TOCACHE,93.0418719211823,98.2142857142857,81
TRUJILLO,85.6461388377077,99.4648185980589,715
TUMBES,52.8347208260032,99.9036608863199,491
UCAYALI,49.2724867724868,62.962962962963,42
URUBAMBA,82.6871657754011,97.5,55
UTCUBAMBA,71.8254734326163,98.8416988416989,274
VICTOR FAJARDO,100,98.4615384615385,65
VILCAS HUAMAN,89.8214285714286,98.75,55
VIRU,64.5320197044335,100,50
YAROWILCA,98.5714285714286,92.0714285714286,48
YAULI,92,100,37
YAUYOS,91.5178571428571,100,64
YUNGAY,95.6666666666667,98.6666666666667,68
YUNGUYO,95.8333333333333,95.2380952380952,39
ZARUMILLA,68.3404940923738,100,136
